Id,Start time,Completion time,Email,Name,TIÊU ĐỀ CỦA SÁCH?(Ví dụ: Nhà Giả Kim),TÊN TÁC GIẢ?(Ví dụ: Paulo Coelho),CHỦ ĐỀ?,NHÀ XUẤT BẢN?(Ví dụ: NXB văn học)
55,8/29/2025 13:44,8/29/2025 13:44,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
56,8/29/2025 13:44,8/29/2025 13:44,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
57,8/29/2025 13:42,8/29/2025 13:45,anonymous,,Thần Thái Uy Nghi Dẫu Quỳ Vẫn Oai,Oopsy,Kỹ năng mềm,NXB Phụ Nữ
58,8/29/2025 13:45,8/29/2025 13:45,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
59,8/29/2025 13:43,8/29/2025 13:45,anonymous,,Thái độ quyết định thành công ,Wayne Cordeiro,Tâm lý - Giáo dục,NXB tổng hợp TP HCM
60,8/29/2025 13:44,8/29/2025 13:45,anonymous,,dạy con làm giàu - tập 9,Robert T.Kiyosaki,Kinh tế - Quản trị,nxb trẻ
61,8/29/2025 13:43,8/29/2025 13:45,anonymous,,Đùng lựa chọn an nhàn khi còn trẻ ,Cảnh Thiên,Kỹ năng mềm,NXB Thế Giới
62,8/29/2025 13:45,8/29/2025 13:45,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
63,8/29/2025 13:46,8/29/2025 13:46,anonymous,,Nhà lãnh đạo kim cương - 7 bước xây dựng đội ngũ tài năng giúp doanh nghiệp tăng 300% lợi nhuận,Michelle Nguyen,Kỹ năng mềm,NXB thế giới 
64,8/29/2025 13:41,8/29/2025 13:46,anonymous,,Sherlock Holmes 1: Chiếc nhẫn tình cờ,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
65,8/29/2025 13:45,8/29/2025 13:46,anonymous,,Buổi sáng diệu kỳ,"Hal Elrod, Pat Petrini",Kỹ năng mềm,NXB Lao động
66,8/29/2025 13:46,8/29/2025 13:46,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
67,8/29/2025 13:46,8/29/2025 13:46,anonymous,,Bí quyết gây dựng cơ nghiệp bạc tỷ,Adam Khoo,Kỹ năng mềm,NXB phụ nữ
68,8/29/2025 13:46,8/29/2025 13:46,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
69,8/29/2025 13:46,8/29/2025 13:47,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
70,8/29/2025 13:46,8/29/2025 13:47,anonymous,,Sherlock Holmes 2: Truy tìm dấu bộ tứ,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
71,8/29/2025 13:45,8/29/2025 13:47,anonymous,,Hoàng cục kinh thế,triệu khang tiết,Triết học - Tôn giáo - Tâm linh,nxb hông đức
72,8/29/2025 13:45,8/29/2025 13:47,anonymous,,Software Engineering,Ian Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison-wesley
73,8/29/2025 13:47,8/29/2025 13:47,anonymous,,một đời quản trị,phan văn trường,Kinh tế - Quản trị,nhà xuất bản trẻ
74,8/29/2025 13:45,8/29/2025 13:47,anonymous,,CHICKEN SOUP FOR THE TRAVELER'S SOUL: TRẢI NGHIỆM TỪ NHỮNG CHUYẾN ĐI,"JACK CANFIELD, MARK VICTOR HANSEN, STEVE ZIKMAN",Kỹ năng mềm,NXB TRẺ
75,8/29/2025 13:47,8/29/2025 13:47,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
76,8/29/2025 13:47,8/29/2025 13:48,anonymous,,Sherlock Holmes 3: Hồi ức về Sherlock Holmes,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
77,8/29/2025 13:48,8/29/2025 13:48,anonymous,,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
78,8/29/2025 13:47,8/29/2025 13:48,anonymous,,Lấy tình thâm mà đổi đầu bạc ,Vãn Tình ,Văn học - Tiểu thuyết,NXB Thế Giới
79,8/29/2025 13:47,8/29/2025 13:48,anonymous,,từ tốt đến vĩ đại,jim collins,Kinh tế - Quản trị,nxb trẻ
80,8/29/2025 13:46,8/29/2025 13:48,anonymous,,Sống theo phương thức 80/20,Richard Koch,Kinh tế - Quản trị,NXB trẻ
81,8/29/2025 13:47,8/29/2025 13:48,anonymous,,Nghĩ Như Một Tỷ Phú ,Donald J.TrumP and Meredith Mc IVER ,Kinh tế - Quản trị,NXB Trẻ
82,8/29/2025 13:38,8/29/2025 13:48,anonymous,,Du hành cùng Herodotus,Ryszard Kapuscinski,Hồi ký - Tiểu sử - Tự truyện,NXB Văn hóa Sài Gòn
83,8/29/2025 13:46,8/29/2025 13:49,anonymous,,10 Câu nói Vạn năng ,Rich Devos,Kỹ năng mềm,NXB Tổng hợp TP. Hồ Chí Minh
84,8/29/2025 13:48,8/29/2025 13:49,anonymous,,tứ thứ,diêm liên khoa,Văn học - Tiểu thuyết,nxb hội nhà văn
85,8/29/2025 13:48,8/29/2025 13:49,anonymous,,Sherlock Holmes 3B: Những cuộc phiêu lưu của Sherlock Holmes ,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
86,8/29/2025 13:48,8/29/2025 13:49,anonymous,,Thấu hiểu tiếp thị từ A-Z ,Philip Kotler,Kinh tế - Quản trị,NXB Trẻ
87,8/29/2025 13:48,8/29/2025 13:49,anonymous,,Content Marketing trong kỷ nguyên 4.0,Alexander Jutkowitz,Kinh tế - Quản trị,NXB lao động
88,8/29/2025 13:49,8/29/2025 13:49,anonymous,,từ tốt đến vĩ đại,jim collins,Kinh tế - Quản trị,nxb trẻ
89,8/29/2025 13:48,8/29/2025 13:49,anonymous,,Trà Hoa Nữ,Alexandre Dumas con,Văn học - Tiểu thuyết,NXB Văn Học
90,8/29/2025 13:49,8/29/2025 13:50,anonymous,,Nữ sinh,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Trẻ
91,8/29/2025 13:49,8/29/2025 13:50,anonymous,,Bí quyết thành công của steve jobs,Kim Thác Đao,Kinh tế - Quản trị,NXB Hồng Đức
92,8/29/2025 13:49,8/29/2025 13:50,anonymous,,7 thói quen của bạn trẻ thành đạt,sean covey,Kỹ năng mềm,nxb tổng hợp tphcm
93,8/29/2025 13:48,8/29/2025 13:50,anonymous,,TANGRAM AKUTELL,GOETHE-INSTITUT VIETNAM,Ngoại ngữ,GOETHE-INSTITUT VIETNAM
94,8/29/2025 13:49,8/29/2025 13:50,anonymous,,Những gì bạn biết về mình đều sai,Don Miguel Ruiz,Tâm lý - Giáo dục,NXB Hà Nội
95,8/29/2025 13:49,8/29/2025 13:50,anonymous,,TOEFL iBT :internet Based Test with 2 Audio CDs,Pamela J.Sharpe,Ngoại ngữ,NXB Trẻ
96,8/29/2025 13:48,8/29/2025 13:50,anonymous,,Flat Eye,FPT Software,Khoa học tự nhiên - Kỹ thuật,NXB Lao Động Xã Hội
97,8/29/2025 13:50,8/29/2025 13:50,anonymous,,Thuật thúc đẩy nhân viên ,Brian Tracy,Kỹ năng mềm,NXB thế giới 
98,8/29/2025 13:49,8/29/2025 13:50,anonymous,,Sherlock Holmes 3A: Những Cuộc Phiêu Lưu của Sherlock Holmes ,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
99,8/29/2025 13:50,8/29/2025 13:51,anonymous,,động lực chèo lái hành vi,daniel h pink,Kỹ năng mềm,nxb lao động xã hội
100,8/29/2025 13:51,8/29/2025 13:51,anonymous,,Flat Eye,FPT Software,Other,NXB Lao Động Xã Hội
101,8/29/2025 13:49,8/29/2025 13:51,anonymous,,Content hay nói thay nước bọt,MediaZ,Kỹ năng mềm,NXB thế giới
102,8/29/2025 13:50,8/29/2025 13:51,anonymous,,TOEFL WORD blash,Milada Broukal,Ngoại ngữ,NXB Trẻ
103,8/29/2025 13:50,8/29/2025 13:51,anonymous,,Sherlock Holmes Toàn tập,Sir Arthur Conan Doyle,Văn học - Tiểu thuyết,NXB Văn học
104,8/29/2025 13:51,8/29/2025 13:51,anonymous,,động lực chèo lái hành vi,daniel h pink,Kỹ năng mềm,nxb lao động xã hội
105,8/29/2025 13:51,8/29/2025 13:51,anonymous,,Sherlock Holmes 5B: Sherlock Holmes Trở Lại,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
106,8/29/2025 13:51,8/29/2025 13:51,anonymous,,Lãnh đạo bằng câu hỏi ,Michael J.Marquardt ,Kỹ năng mềm,NXB thế giới
107,8/29/2025 13:51,8/29/2025 13:52,anonymous,,hành trình tới thành công,jonh c maxwell,Kỹ năng mềm,nxb lao động xã hội
108,8/29/2025 13:51,8/29/2025 13:52,anonymous,,Mê Cung Ảnh,Sergei Lukianenko,Văn học - Tiểu thuyết,NXB Lao động
109,8/29/2025 13:50,8/29/2025 13:52,anonymous,,Tôi có một chén rượu có thể xoa dịu hồng trần ,Quan Đông Dã Khách ,Văn học - Tiểu thuyết,NXH Hồng Đức
110,8/29/2025 13:51,8/29/2025 13:52,anonymous,,Flat Eye,FPT Software,Other,FPT Software
111,8/29/2025 13:51,8/29/2025 13:52,anonymous,,NTC's Preparation for the TOEFL,Milada Broukal,Ngoại ngữ,National Textbook Company
112,8/29/2025 13:52,8/29/2025 13:53,anonymous,,phẩm chất vàng của nhà lãnh đạo 21,john c maxwell,Kỹ năng mềm,nxb lao động xã hội
113,8/29/2025 13:51,8/29/2025 13:53,anonymous,,SECRETS OF POWER,RHONDA BYRNE,Kỹ năng mềm,SIMON & SCHUSTER
114,8/29/2025 13:53,8/29/2025 13:53,anonymous,,nguyên tắc vàng trong làm việc nhóm,john c maxwell,Kỹ năng mềm,nxb lao động xã hội
115,8/29/2025 13:51,8/29/2025 13:53,anonymous,,Bí mật ở Cannes,Trung Nghĩa,Nghệ thuật - Giải trí,tủ sách Tuổi Trẻ
116,8/29/2025 13:52,8/29/2025 13:53,anonymous,,Cuốn theo chiều gió ,Margaret Mitchell,Văn học - Tiểu thuyết,NXB Văn học 
117,8/29/2025 13:53,8/29/2025 13:53,anonymous,,làm chủ bộ não,david rock,Kỹ năng mềm,nxb lao động
118,8/29/2025 13:53,8/29/2025 13:54,anonymous,,Bọ Cạp và câu chuyện tình yêu ,Linda Goodman,Triết học - Tôn giáo - Tâm linh,NXB Lao Động
119,8/29/2025 13:52,8/29/2025 13:54,anonymous,,TOEFL PRACTICE TESTS 2000,Bruce Rogers,Ngoại ngữ,PETERSON'S
120,8/29/2025 13:51,8/29/2025 13:54,anonymous,,10 điều khác biệt nhất giữa kẻ thắng và người thua,Keith Cameron Smith,Tâm lý - Giáo dục,NXB Dân Trí
121,8/29/2025 13:54,8/29/2025 13:54,anonymous,,TOEFL PRACTICE TESTS 2002,Bruce Rogers,Ngoại ngữ,PETERSON'S
122,8/29/2025 13:54,8/29/2025 13:54,anonymous,,Cuốn Theo Chiều Gió 2,Margaret Mitchell ,Văn học - Tiểu thuyết,NXB văn học 
123,8/29/2025 13:53,8/29/2025 13:54,anonymous,,Start up nation,dan senor và saul singer,Kinh tế - Quản trị,NXB thế giới
124,8/29/2025 13:54,8/29/2025 13:55,anonymous,,Ỷ thiên đồ Long ký ,Kim dung ,Văn học - Tiểu thuyết,NXB Văn học
125,8/29/2025 13:54,8/29/2025 13:55,anonymous,,Quà tặng tinh thần dành cho phụ nữ,Jack Canfield & Mark Victor Hansen ,Tâm lý - Giáo dục,NXB Trẻ
126,8/29/2025 13:53,8/29/2025 13:55,anonymous,,Sherlock Holmes 6: Con Chó Của Dòng Họ Baskerville,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
127,8/29/2025 13:54,8/29/2025 13:55,anonymous,,Start up nation,dan senor và saul singer,Kinh tế - Quản trị,NXB thế giới
128,8/29/2025 13:54,8/29/2025 13:55,anonymous,,trại trẻ đặc biệt của cô peregrine,ransom riggs,Văn học - Tiểu thuyết,nxb văn học
129,8/29/2025 13:52,8/29/2025 13:55,anonymous,,Hạt giống tâm hồn và tình yêu thương gia đình,Nhiều tác giả,Tâm lý - Giáo dục,NXB Tổng Hợp Thành Phố Hồ Chí Minh
130,8/29/2025 13:52,8/29/2025 13:55,anonymous,,Sừng Rượu Thề,Nghiêm Đa Văn,Văn học - Tiểu thuyết,NXB Kim Đồng
131,8/29/2025 13:54,8/29/2025 13:56,anonymous,,Khoảng cách từ nói đến làm ,Jeffrey Pfeffer,Kinh tế - Quản trị,NXB Lao động - Xã hội
132,8/29/2025 13:55,8/29/2025 13:56,anonymous,,Start up nation,dan senor và saul singer,Kinh tế - Quản trị,NXB thế giới
133,8/29/2025 13:54,8/29/2025 13:56,anonymous,,Kính Vạn Hoa - Tóc ngắn tóc dài ,Nguyễn Nhật Ánh ,Văn học - Tiểu thuyết,NXB Kim Đồng 
134,8/29/2025 13:54,8/29/2025 13:56,anonymous,,HOW TO PREPARE FOR THE TOEIC BRIDGE TEST,Lin Lougheed,Ngoại ngữ,NXB Trẻ
135,8/29/2025 13:55,8/29/2025 13:56,anonymous,,túp lều bác Tom,Harriet beecher stowe,Văn học - Tiểu thuyết,nxb văn học
136,8/29/2025 13:55,8/29/2025 13:56,anonymous,,Đời thay đổi khi ta thay đổi 1,Andrew Matthews ,Tâm lý - Giáo dục,NXB Trẻ
137,8/29/2025 13:56,8/29/2025 13:56,anonymous,,Start up nation,dan senor và saul singer,Kinh tế - Quản trị,NXB thế giới
138,8/29/2025 13:55,8/29/2025 13:56,anonymous,,Oxford Business English Dictionary for learners of English ,Dilys Parkinson,Ngoại ngữ,Oxford University Press
139,8/29/2025 13:56,8/29/2025 13:56,anonymous,,báo ứng,philip roth,Văn học - Tiểu thuyết,nxb trẻ
140,8/29/2025 13:56,8/29/2025 13:57,anonymous,,Start up nation,dan senor và saul singer,Kinh tế - Quản trị,Nxb thế giới
141,8/29/2025 13:56,8/29/2025 13:57,anonymous,,Nếu biết trăm năm là hữu hạn,Phạm Lữ Ân,Văn học - Tiểu thuyết,NXB thế giới
142,8/29/2025 13:55,8/29/2025 13:57,anonymous,,SLEEPLESS NIGHTS AND KISSES FOR BREAKFAST: REFLECTIONS ON FATHERHOOD,MATTEO BUSSOLA,Hồi ký - Tiểu sử - Tự truyện,TARCHER PERIGEE
143,8/29/2025 13:56,8/29/2025 13:57,anonymous,,Trí tuệ do thái ,Eran Katz,Kỹ năng mềm,Nxb Lao động - Xã hội
144,8/29/2025 13:56,8/29/2025 13:57,anonymous,,Đời thay đổi khi chúng ta thay đổi ,andrew Matthews,Tâm lý - Giáo dục,NXB trẻ
145,8/29/2025 13:56,8/29/2025 13:57,anonymous,,Kính Vạn Hoa - Má lúm đồng tiền ,Nguyễn Nhật Ánh ,Văn học - Tiểu thuyết,NXB Kim Đồng
146,8/29/2025 13:55,8/29/2025 13:57,anonymous,,Sherlock Holmes 7: Thung Lũng Khủng Khiếp,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
147,8/29/2025 13:57,8/29/2025 13:57,anonymous,,Ngôi trường mọi khi ,Nguyễn Nhật Ánh ,Văn học - Tiểu thuyết,NXB Trẻ
148,8/29/2025 13:55,8/29/2025 13:57,anonymous,,15 năm FPT TPHCM,FPT,Other,FPT
149,8/29/2025 13:57,8/29/2025 13:58,anonymous,,Jeff bezos và kỷ nguyên amazon,Brad stone,Kinh tế - Quản trị,Nxb lao động
150,8/29/2025 13:57,8/29/2025 13:58,anonymous,,Quên hôm qua sống cho ngày mai ,"Tian Dayton, Ph.D",Tâm lý - Giáo dục,NXB tổng hợp TP HCM
151,8/29/2025 13:57,8/29/2025 13:58,anonymous,,Cô gái đến từ hôm qua ,Nguyễn Nhật Ánh ,Văn học - Tiểu thuyết,NXB Trẻ
152,8/29/2025 13:56,8/29/2025 13:58,anonymous,,thông điệp của nước,masaru emoto,Triết học - Tôn giáo - Tâm linh,nxb lao động
153,8/29/2025 13:57,8/29/2025 13:58,anonymous,,Lịch sử thế giới,Nguyễn Hiến Lê- Thiên Giang,Lịch sử - Địa lý,NXB Văn Hóa
154,8/29/2025 13:55,8/29/2025 13:58,anonymous,,The Prince (Quân Vương),Niccolo Machiavelli,Văn học - Tiểu thuyết,NXB Dân trí
155,8/29/2025 13:57,8/29/2025 13:59,anonymous,,CON NGỰA THÀNH TROY: CUỘC PHIÊU LƯU VĨ ĐẠI NHẤT THẾ GIỚI,DAVID CLEMENT-DAVIES,Lịch sử - Địa lý,NXB GIÁO DỤC; NXB THẾ GIỚI
156,8/29/2025 13:57,8/29/2025 13:59,anonymous,,Sherlock Holmes 8: Cung Đàn Sau Cuối,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
157,8/29/2025 13:58,8/29/2025 13:59,anonymous,,totto- chan bên cửa sổ,kuroyanagi tetsuko,Văn học - Tiểu thuyết,nxb hội nhà văn
158,8/29/2025 13:58,8/29/2025 13:59,anonymous,,15 năm FPT TPHCM,FPT,Other,FPT
159,8/29/2025 13:58,8/29/2025 13:59,anonymous,,Sống thực tế giữa đời thực dụng ,Mễ Mông ,Tâm lý - Giáo dục,NXB Dân Trí
160,8/29/2025 13:56,8/29/2025 13:59,anonymous,,Giải Pháp Đột Phá,JAY ABRAHAM,Kinh tế - Quản trị,NXB Phụ Nữ
161,8/29/2025 13:58,8/29/2025 13:59,anonymous,,Bầu trời không chỉ có màu xanh ,Lí Quý Trung,Kinh tế - Quản trị,NXB Trẻ
162,8/29/2025 13:58,8/29/2025 13:59,anonymous,,Business English & Communication Skills,MDIS,Học liệu,MDIS
163,8/29/2025 13:59,8/29/2025 13:59,anonymous,,săn mộ thông thiên la thành,hoàng yến,Văn học - Tiểu thuyết,nxb văn học
164,8/29/2025 13:59,8/29/2025 13:59,anonymous,,Sống hạnh phúc ,Andrew Matthews ,Tâm lý - Giáo dục,NXB Đà Nẵng
165,8/29/2025 13:59,8/29/2025 14:00,anonymous,,Thai Giáo,Phạm Thị Thúy,Y học - Sức khỏe - Thể thao,NXB Phụ nữ
166,8/29/2025 13:59,8/29/2025 14:00,anonymous,,Sherlock Holmes 9: Tàng Thư của Sherlock Holmes,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
167,8/29/2025 13:59,8/29/2025 14:00,anonymous,,ZEPPELIN: THỜI ĐẠI CỦA KHÍ CẦU,ANDREW DONKIN,Lịch sử - Địa lý,NXB GIÁO DỤC; NXB THẾ GIỚI
168,8/29/2025 13:59,8/29/2025 14:00,anonymous,,ung thư,Ty bollinger,Y học - Sức khỏe - Thể thao,nxb thế giới
169,8/29/2025 13:59,8/29/2025 14:00,anonymous,,Kế Bạn ,Andrew Matthews ,Tâm lý - Giáo dục,NXB Đà Nẵng
170,8/29/2025 13:59,8/29/2025 14:00,anonymous,,90 ngày đầu tiên làm sếp,Michael Watkins,Kinh tế - Quản trị,NXB lao động - xã hội
171,8/29/2025 13:59,8/29/2025 14:00,anonymous,,Đường Xưa Mây Trắng,Thích Nhất Hạnh,Triết học - Tôn giáo - Tâm linh,NXB Phương Đông
